attachment_id	user_id	text	begin	end	height	width	train	length
df5b08f0-41d1-4572-889c-8b893e71069b	185bd3a81d9d618518d10abebf0d17a8	А	36	76	1920	1080	False	150
3d2b6a08-131d-40a9-9533-cf45cefb07fd	9a0784a99ea13a8b06cb103c2c8c7f0f	А	31	63	1920	1080	True	78
1915f996-71ed-44ae-9a34-ee1959919238	ca6b767f0cccf093ba737ae2fc4fec3d	А	25	81	1920	1080	True	98
bfb2d7ae-0f6c-4e20-b087-0965641d34ff	0ab4f8e463cdded2e59d6001f4e1b487	А	18	47	1080	1920	False	82
24936cc5-e5bb-43a3-96b8-2a9b4a6d157f	a95892dae1d320bd8b08cbca6a127cd8	А	6	33	1080	1920	False	40
52a31867-5661-4a33-aeea-416fedc8b029	46dd04a1caa75ed3082b573cb5a3ad26	А	7	38	1920	1080	False	100
89a6ed0c-490f-4679-af7e-9f9f1e9b619c	1860c7f3605089bf0eff0c4e72c7add4	А	15	67	1440	1440	True	91
b20b8829-b443-45e8-8ae0-5a9652ccfdf7	95af8e702c909eee7145c6dc1a3d756b	А	30	78	1280	720	False	82
3a6e0307-e80c-4101-b3ed-1075070ba27a	fc6e5caa3dc328e7558b072e6607e399	А	13	44	1920	1080	False	68
cd31a981-0638-4ac3-bcdd-3cacf724c827	db573f94204e56e0cf3fc2ea000e5bdc	А	3	61	1280	720	False	112
46b8313e-8281-41ad-8d01-29c8a49bfbf5	0211b488644476dd0fec656ccb9b74fc	А	13	49	1920	1080	False	78
77c27327-5808-43c1-a517-75790b7c67d0	a356848cf0a72f961b81ebb6716f6131	А	31	125	1920	1080	True	244
ebc54c26-7625-4f84-bc09-8e770ee2bd0b	50334f2a79561498829a34a2c90984b1	А	88	136	1920	1080	False	256
c727cc70-3f30-4426-8956-55514f0af3e4	2d84da20c251acaeb3186642fcb04f2e	А	24	56	1920	1080	False	96
521811f2-a8e4-4ebb-981f-bd3328088f62	9f9b13d8e63bd774b4ad1bd14f56147d	А	15	54	720	1280	False	93
cb6151a7-7004-4c28-a71f-e8fd4872f5c1	ba230d5b794c9a7350356eddd3e9929c	А	9	55	1920	960	True	72
cdff61a5-06fc-425c-9cbd-72e532015e2f	13c4baf863bfb1aa4ac638650e508d3b	А	18	69	1080	1920	True	106
613ed2b8-c894-427f-b0ef-3e8872609c76	0041ec866777f12c384b64d8cd636277	А	27	102	1920	1080	False	139
dd938a9c-1dd4-4453-9633-e9e33423917f	f5b82a9c82f6d870ec253e4c3fa96d83	А	43	106	1920	1080	False	141
6dd5fe9b-ae33-4212-8d6c-7cf42f76dd81	b07a773bcb10b4f14f33d2b0e8ec58ba	А	49	97	720	1280	False	143
6479fe6c-ed67-49f6-bd13-a7b472911729	0df9d6e419cb18069e696edaa170ba87	А	31	79	1920	864	True	162
50a13a36-f4ff-42a9-af30-7693b64b2685	12c7911f38c7113ce13c71dbd785ce22	А	3	31	1920	1080	True	77
370005c9-dd81-4337-82be-08be228e3e48	f2dc6eab563f93d86629c1cfe479f09d	А	21	60	1440	1440	True	67
83acfcc4-8122-4548-be09-ca9212fc528d	4d26ad833542291c50de9ce88fb4f64a	А	15	62	1920	1080	False	120
8ea29713-6375-40a7-898e-7c6a82ce5fe6	3dd2ce2659aada17b976390004ebe322	А	0	41	1920	886	True	68
3b02ff8b-999f-43ad-a933-ee89a4b69e9d	87fe0712fdd150ecc8d02cbbb2e047d6	А	13	63	1280	720	True	71
39455eeb-68c1-4822-923a-2b2db6b50feb	b4e852a75cacf8642412dfc05e2126a3	А	9	50	1920	1080	True	78
fbe2c596-75a9-43d4-b9a9-4ac608270200	324cdee3d2550397efb761d8fff48139	А	7	55	1920	1080	True	88
7ab8db58-2867-4def-a7b3-536441be07a9	52003757d6b63a3ee7a71f36f5a9a17b	А	9	75	1920	1080	True	102
2b7a452b-a739-44d6-9c76-7562bcae7abd	76aa633fcb2bec4e6b0852635a8af57c	А	2	73	1920	1080	True	106
11d6eaff-5214-4bde-8aa8-c28c5a848c1f	4aef7889ad6cd118ce4dab1e3b998a01	А	5	32	1920	1080	True	69
91292fa3-a37f-4d18-a8ae-44aa8205dbdb	aa12bfdceb971561727e86d34aff35ac	А	8	51	1920	1080	True	79
9d73e601-15eb-4c62-9684-4f809a804696	ab460ff83e8c5b13a705a9e2081023c2	А	3	37	1920	880	True	78
c8c6761f-7d65-4c2c-bf3c-df1dedad3b24	3ef4548431002f9f8fd7f39987be22c1	А	21	68	1920	1080	True	104
043b0357-a403-483c-836d-31bba541cbb2	fb1007e5ffe149cc08bccaf8eda2ce31	А	28	72	1280	720	True	144
354173d4-4ec9-4657-a3c3-2aa4cee97c54	81c0cdc37caa67e7ddf8e06c0a4443c8	А	34	105	1920	880	True	152
4e94494e-0a83-417c-a8f8-7dcb4ed9c7e6	40ad51b49892dca94b905eca8926568a	А	7	67	1920	1080	True	107
0527f583-ed98-43e5-a70a-0b988eb5b5b5	3cf00ecfe200a3990d42c6464286d6fb	А	18	77	1920	1080	True	105
bf8aabeb-14c9-49ab-8e05-f9e3edc32d29	83624345fa124849e833a8664f21f3ea	А	2	54	1920	1080	True	77
bc9b11de-6c79-487a-818e-d5e9e331cc3c	e4bd328bca8e6f51bd6f4f019692b666	А	15	72	1920	1080	True	97
147dcd9c-8540-4f38-8949-97bd9012d643	32f4bb8542738fa1980831515d2949ea	А	8	48	1920	1080	True	84
1416787d-032d-4d48-89da-a14e4791b5da	27032346b8d1e263473c0451843a8a6a	А	25	71	1080	1920	True	99
ccfdf35c-879e-4431-860e-0effc15f61a2	a85134b72f825ac9569e44e9ae53b128	А	24	82	1080	1920	True	119
55aaa1e1-6379-49d6-9b9a-49fe5bb3a6e5	8c34c33a92e42220b2e080bdb388d532	А	18	47	1920	1080	True	70
75674719-c859-4b2c-ba50-d3677de7d3fc	bd4e2755d88d8d835a07df3c78cdfc3c	А	9	61	1920	1080	True	92
